Ab.Inv,Rich,Shan,Simp,A.alpina,haplo.sp,alstro.sp,C.oppositifolia,A.caven,Sene.sp,A.compacta,A.splendens,Berbe.sp,R.rhodolirion,BS,SLP,SCH,HEB,ALT,DIST
15,1.5,0.362210557,0.207612457,5,0,0,37.5,0,0,0,0,0,0,42.5,11.2,37.5,20,1980,1
32.5,4,1.331660287,0.6875,2.5,12.5,5,17.5,0,0,0,0,0,0,27.5,10.95,30,52.5,1980,2
35,2,0.830523691,0.5078125,12.5,0,2.5,25,0,0,0,0,0,0,25,11,25,50,1980,4
32.5,2.5,0.947057152,0.5703125,22.5,0,5,12.5,0,0,0,0,0,0,27.5,5.65,12.5,60,1980,8
47.5,2,0.853944698,0.432132964,2.5,0,5,5,0,0,0,0,0,0,5,6.2,40,55,1980,16
52.5,2.5,1.033562054,0.545454545,17.5,2.5,5,2.5,0,0,0,0,0,0,20,7.1,2.5,77.5,1980,42
60,1,0.562335145,0.375,2.5,0,0,7.5,0,0,0,0,0,0,30,7.6,7.5,62.5,1980,1
82.5,0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,15,10.4,2.5,82.5,1980,2
67.5,0.5,0,0,2.5,0,0,0,0,0,0,0,0,0,30,14.85,0,70,1980,4
75,0,0,1,0,0,0,0,0,0,0,0,0,0,25,6.25,0,75,1980,8
40,0.5,0,0,0,0,0,40,0,0,0,0,0,0,20,17.4,40,40,1980,16
60,0,0,1,0,0,0,0,0,0,0,0,0,0,40,9.5,0,60,1980,42
30,0.5,0,0,0,0,0,0,0,0,0,0,0,0,40,8.75,30,30,1980,1
15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,42.5,3.45,42.5,15,1980,2
42.5,0,0,1,0,0,0,0,0,0,0,0,0,0,57.5,11.95,0,42.5,1980,4
42.5,0,0,1,0,0,0,0,0,0,0,0,0,0,57.5,12.1,0,42.5,1980,8
60,0,0,1,0,0,0,0,0,0,0,0,0,0,40,19.85,0,60,1980,16
72.5,0,0,1,0,0,0,0,0,0,0,0,0,0,27.5,20.45,0,72.5,1980,42
45,0.5,0,0,0,2.5,0,0,0,0,0,0,0,0,52.5,7.905,0,47.5,1980,1
67.5,0,0,1,0,0,0,0,0,0,0,0,0,0,32.5,17.65,0,67.5,1980,2
70,0,0,1,0,0,0,0,0,0,0,0,0,0,30,20.65,0,70,1980,4
50,0,0,1,0,0,0,0,0,0,0,0,0,0,50,13.355,0,50,1980,8
50,0.5,0,0,0,0,0,0,0,0,0,0,0,0,35,11.55,15,50,1980,16
50,0,0,1,0,0,0,0,0,0,0,0,0,0,50,9.35,0,50,1980,42
27.5,1,0.562335145,0.375,0,0,0,5,0,15,0,0,0,0,52.5,11.6,5,42.5,1980,1
22.5,2,0.540204142,0.355029586,0,0,0,0,0,20,0,0,0,0,50,8.15,0,50,1980,2
20,2.5,0.721463687,0.402777778,0,0,0,5,0,22.5,0,0,0,0,50,17.1,5,45,1980,4
17.5,1.5,0.529706199,0.345679012,0,0,0,0,0,17.5,0,0,0,0,60,7.45,0,40,1980,8
37.5,2,0.950270539,0.56,0,0,5,0,0,15,0,0,0,0,37.5,15.25,0,62.5,1980,16
35,2.5,0.627705257,0.337777778,0,0,0,0,0,30,0,0,0,0,27.5,11.5,0,72.5,1980,42
22.5,2,1.054920168,0.64,0,0,0,10,0,10,0,0,0,0,52.5,3.8,10,37.5,2110,1
12.5,1.5,0.376770161,0.21875,0,0,0,2.5,0,17.5,0,0,0,0,67.5,3.6,2.5,30,2110,2
5,2,0.673011667,0.48,0,0,0,22.5,0,15,0,0,0,0,57.5,12.15,22.5,20,2110,4
10,2,0.690185676,0.49704142,0,0,0,15,0,17.5,0,0,0,0,57.5,10.35,15,27.5,2110,8
15,3,1.01266311,0.585,2.5,2.5,0,20,0,25,0,0,0,0,35,7.8,22.5,42.5,2110,16
10,2.5,0.881532261,0.5546875,0,0,2.5,20,0,17.5,0,0,0,0,50,4.25,20,30,2110,42
20,2.5,0.839269556,0.526315789,0,2.5,0,27.5,0,17.5,0,0,0,0,32.5,7.95,52.5,37.5,2110,1
12.5,2,0.636514168,0.444444444,0,0,0,25,0,12.5,0,0,0,0,50,13.35,25,25,2110,2
